"Botanical.Name","ht.max","dbh","cw"
"Platanus occidentalis",41.03,49.9746625277885,NA
"Carya cordiformis",34.75,76.0760786251047,NA
"Carya cordiformis",36.7,60.7972009096025,NA
"Carya cordiformis",38.68,61.4338208144151,NA
"Prunus serotina",32.03,53.4760720042577,NA
"Quercus velutina",36.06,71.9380492438229,NA
"Juglans nigra",34.66,70.3464994817914,NA
"Juglans nigra",35.69,61.4338208144151,NA
"Juglans nigra",36.09,55.0676217662892,NA
"Nyssa sylvatica",34.9,58.2507212903521,NA
"Quercus muehlenbergii",31.18,41.3802938128185,NA
"Magnolia acuminata",34.26,49.9746625277885,NA
"Magnolia acuminata",34.32,76.7126985299173,NA
"Populus deltoides",38.01,137.50989943952,NA
"Populus deltoides",40.39,86.5803070545125,NA
"Populus deltoides",40.78,66.2084701005095,NA
"Populus deltoides",41.67,105.042284294078,NA
"Juniperus virginiana",29.35,NA,NA
"Fraxinus pennsylvanica",36.36,85.6253771972936,NA
"Gleditsia triacanthos",29.6,52.5211421470388,NA
"Gleditsia triacanthos",31.09,NA,NA
"Pinus taeda",43.53,79.2591781491677,NA
"Quercus rubra",38.74,80.8507279111992,NA
"Quercus rubra",40.26,73.5295990058544,NA
"Quercus rubra",41.94,100.267635007983,NA
"Carya glabra",40.29,67.800019862541,NA
"Carya ovata",39.99,62.388750671634,NA
"Carya ovata",40.54,48.383112765757,NA
"Carya ovata",42.64,66.2084701005095,NA
"Pinus echinata",36,NA,NA
"Quercus shumardii",38.25,96.1296056267014,NA
"Quercus shumardii",38.28,63.9803004336655,NA
"Quercus shumardii",39.11,87.2169269593251,NA
"Quercus shumardii",41.85,61.4338208144151,NA
"Quercus shumardii",41.85,76.0760786251047,NA
"Acer floridanum",29.81,63.9803004336655,NA
"Acer floridanum",32.86,46.7915630037255,NA
"Acer floridanum",33.53,35.6507146695051,NA
"Acer floridanum",34.99,52.5211421470388,NA
"Celtis laevigata var. laevigata",29.84,123.822571486049,NA
"Celtis laevigata var. laevigata",35.78,70.3464994817914,NA
"Liquidambar styraciflua",40.54,69.3915696245725,NA
"Liquidambar styraciflua",41.67,54.1126919090703,NA
"Liriodendron tulipifera",39.2,NA,NA
"Liriodendron tulipifera",41.57,70.3464994817914,NA
"Liriodendron tulipifera",42.06,67.800019862541,NA
"Liriodendron tulipifera",42.09,NA,NA
"Liriodendron tulipifera",42.58,NA,NA
"Liriodendron tulipifera",42.64,74.4845288630732,NA
"Quercus nigra",36.82,58.2507212903521,NA
"Quercus alba",38.04,118.092992342736,NA
"Quercus alba",39.11,71.9380492438229,NA
"Platanus occidentalis",37.03,155.971876679085,26.82
"Firmiana simplex",9.14,15.2788777155022,NA
"Symplocos tinctoria",14.3,27.3746559069414,NA
"Vaccinium arboreum",8.75,NA,NA
"Pinus palustris",25.15,75.1211487678858,15.54
"Carya illinoinensis",38.8,159.154976203148,NA
"Magnolia grandiflora",17.37,182.709912681214,26.79
