  Scientific Name  	 AGCP	 AW	 CB	 EMP	 GP	 HI	 MW	 NCNE	 WMVC	 AK
  Abelmoschus moschatus  	   	   	 UPL	   	   	 FAC	   	   	   	   
  Abies amabilis  	   	 FACU	   	   	   	   	   	   	 FACU	 UPL
  Abies balsamea  	   	   	   	 FAC	 FAC	   	 FACW	 FAC	   	   
  Abies bifolia  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Abies fraseri  	   	   	   	 FACU	   	   	   	 FACU	   	   
  Abies grandis  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Abies lasiocarpa  	   	 FACU	   	   	   	   	   	   	 FACU	 UPL
  Abies procera  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Abildgaardia ovata  	 FACW	   	 FAC	   	   	 FACW	   	   	   	   
  Abrus precatorius  	 UPL	   	 UPL	   	   	 FAC	   	   	   	   
  Abutilon auritum  	   	   	   	   	   	 FACU	   	   	   	   
  Abutilon indicum  	   	   	 UPL	   	   	 FAC	   	   	   	   
  Abutilon theophrasti  	 FACU	 UPL	   	 UPL	 UPL	   	 FACU	 FACU	 FACU	   
  Acacia confusa  	   	   	   	   	   	 FACU	   	   	   	   
  Acaena exigua  	   	   	   	   	   	 OBL	   	   	   	   
  Acalypha amentacea  	 FAC	   	 UPL	   	   	 FACU	   	   	   	   
  Acalypha bisetosa  	   	   	 FACW	   	   	   	   	   	   	   
  Acalypha gracilens  	 FAC	   	   	 FAC	 FAC	   	 FACU	 FACU	   	   
  Acalypha poiretii  	 FACU	   	 UPL	 FACU	 FACU	 UPL	   	 FACU	   	   
  Acalypha rhomboidea  	 FAC	   	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Acalypha virginica  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Acanthocereus tetragonus  	 FAC	   	 UPL	   	 FACU	 UPL	   	   	   	   
  Acanthomintha ilicifolia  	   	 FAC	   	   	   	   	   	   	   	   
  Acer circinatum  	   	 FAC	   	   	   	   	   	 FAC	 FAC	 FAC
  Acer glabrum  	   	 FAC	   	   	 FAC	   	 FAC	   	 FACU	 FACU
  Acer grandidentatum  	   	 FACU	   	   	 FAC	   	   	   	 FACU	   
  Acer macrophyllum  	   	 FAC	   	   	   	   	   	   	 FACU	   
  Acer negundo  	 FAC	 FACW	   	 FAC	 FAC	   	 FAC	 FAC	 FAC	   
  Acer nigrum  	 UPL	   	   	 FACU	   	   	 FACU	 FACU	   	   
  Acer pensylvanicum  	 FACU	   	   	 FACU	   	   	 FACU	 FACU	   	   
  Acer platanoides  	 UPL	 UPL	   	 UPL	 UPL	   	 UPL	 UPL	 FACU	   
  Acer rubrum  	 FAC	   	   	 FAC	 FAC	   	 FAC	 FAC	 FAC	   
  Acer saccharinum  	 FAC	 FAC	   	 FACW	 FAC	   	 FACW	 FACW	 FAC	   
  Acer saccharum  	 FACU	 FACU	   	 FACU	 UPL	   	 FACU	 FACU	 FACU	   
  Acer spicatum  	 UPL	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Achillea millefolium  	 FACU	 FACU	   	 FACU	 FACU	 UPL	 FACU	 FACU	 FACU	 FACU
  Achillea ptarmica  	 FACU	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	 FACU
  Achnatherum diegoense  	   	 FACW	   	   	   	   	   	   	   	   
  Achnatherum hymenoides  	   	 UPL	   	   	 FACU	   	 FACU	 FACU	 UPL	   
  Achnatherum nelsonii  	   	 FACU	   	   	 UPL	   	 UPL	   	 UPL	   
  Achnatherum richardsonii  	   	 UPL	   	   	 FACU	   	   	   	 UPL	 FACU
  Achyrachaena mollis  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Achyranthes aspera  	 UPL	   	 UPL	 UPL	 UPL	 FAC	   	   	   	   
  Achyranthes bidentata  	   	   	   	   	   	 FACU	   	   	   	   
  Acisanthera quadrata  	   	   	 OBL	   	   	   	   	   	   	   
  Acmella iodiscaea  	   	   	 OBL	   	   	   	   	   	   	   
  Acmella repens  	 FACW	   	   	 FACW	 FACW	   	 FACW	   	   	   
  Acmispon americanus  	 FACU	 UPL	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Acnistus arborescens  	   	   	 FACU	   	   	   	   	   	   	   
  Acoelorrhaphe wrightii  	 OBL	   	   	   	   	   	   	   	   	   
  Aconitum columbianum  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Aconitum delphiniifolium  	   	   	   	   	   	   	   	   	   	 FAC
  Aconitum infectum  	   	 FACW	   	   	   	   	   	   	 OBL	   
  Aconitum noveboracense  	   	   	   	   	   	   	 FACW	 FAC	   	   
  Aconitum reclinatum  	   	   	   	 FAC	   	   	   	   	   	   
  Aconitum uncinatum  	 FAC	   	   	 FAC	   	   	 FAC	 FAC	   	   
  Aconogonon alaskanum  	   	   	   	   	   	   	   	   	   	 FAC
  Aconogonon phytolaccifolium  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Acorus americanus  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Acorus calamus  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Acrostichum aureum  	 OBL	   	 OBL	   	   	 OBL	   	   	   	   
  Acrostichum danaeifolium  	 OBL	   	 OBL	   	   	   	   	   	   	   
  Actaea laciniata  	   	   	   	   	   	   	   	   	 FACW	   
  Actaea pachypoda  	 FACU	   	   	 UPL	   	   	 FACU	 UPL	   	   
  Actaea podocarpa  	   	   	   	 FACU	   	   	 FAC	   	   	   
  Actaea rubra  	 UPL	 FAC	   	 UPL	 FACU	   	 FACU	 FACU	 FACU	 FAC
  Actinostachys pennula  	 FAC	   	 FAC	   	   	   	   	   	   	   
  Adenanthera pavonina  	 UPL	   	 UPL	   	   	 FACU	   	   	   	   
  Adenophorus pinnatifidus  	   	   	   	   	   	 FACU	   	   	   	   
  Adenostemma lavenia  	   	   	   	   	   	 FACW	   	   	   	   
  Adenostemma verbesina  	   	   	 FACW	   	   	   	   	   	   	   
  Adiantum aleuticum  	 FAC	 FAC	   	 FAC	 FAC	   	   	 FACU	 FAC	 FAC
  Adiantum capillus-veneris  	 FACU	 FACW	 FACW	 FACU	 FACW	 FACU	 FACU	   	 FACW	   
  Adiantum jordanii  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Adiantum latifolium  	   	   	 FAC	   	   	   	   	   	   	   
  Adiantum macrophyllum  	   	   	 FACW	   	   	   	   	   	   	   
  Adiantum obliquum  	   	   	 FACU	   	   	   	   	   	   	   
  Adiantum pedatum  	 FACU	   	   	 FAC	 FAC	   	 FACU	 FACU	 FAC	   
  Adiantum petiolatum  	   	   	 FAC	   	   	   	   	   	   	   
  Adiantum pulverulentum  	   	   	 FACU	   	   	   	   	   	   	   
  Adiantum raddianum  	   	   	   	   	   	 FAC	   	   	   	   
  Adiantum tenerum  	 FAC	   	 FACU	   	   	 FACU	   	   	   	   
  Adiantum tricholepis  	   	   	   	   	 FAC	   	   	   	   	   
  Adiantum wilsonii  	   	   	 FAC	   	   	   	   	   	   	   
  Adoxa moschatellina  	   	 FAC	   	   	 FAC	   	 FAC	 FAC	 FAC	 FAC
  Aegopodium podagraria  	 FACW	 FAC	   	 FACU	   	   	 FAC	 FAC	 FACU	   
  Aeschynomene americana  	 FAC	   	 FAC	 FAC	   	   	   	   	   	   
  Aeschynomene evenia  	   	   	 FAC	   	   	   	   	   	   	   
  Aeschynomene gracilis  	   	   	 FAC	   	   	   	   	   	   	   
  Aeschynomene indica  	 FACW	   	 FACW	 FACW	 FACW	   	   	   	   	   
  Aeschynomene pratensis  	 OBL	   	   	   	   	   	   	   	   	   
  Aeschynomene sensitiva  	   	   	 OBL	   	   	   	   	   	   	   
  Aeschynomene virginica  	 FACW	   	   	 OBL	   	   	   	   	   	   
  Aeschynomene virginica  	 OBL	   	   	   	   	   	   	   	   	   
  Aesculus flava  	 FACU	   	   	 FACU	   	   	 FACU	 FACU	   	   
  Aesculus glabra  	 FACU	   	   	 FACU	 FAC	   	 FAC	 FAC	   	   
  Aesculus pavia  	 FACU	   	   	 FAC	 FAC	   	 FAC	   	   	   
  Aesculus sylvatica  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Agalinis aphylla  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Agalinis aspera  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Agalinis calycina  	   	 OBL	   	   	 OBL	   	   	   	 OBL	   
  Agalinis divaricata  	 FACU	   	   	   	   	   	   	   	   	   
  Agalinis fasciculata  	 FAC	   	 FACU	 FAC	 FAC	   	 FAC	 FAC	   	   
  Agalinis filicaulis  	 FAC	   	   	   	   	   	   	   	   	   
  Agalinis filifolia  	 FACU	   	   	   	   	   	   	   	   	   
  Agalinis flexicaulis  	 FACW	   	   	   	   	   	   	   	   	   
  Agalinis georgiana  	 FAC	   	   	   	   	   	   	   	   	   
  Agalinis harperi  	 FAC	   	   	   	   	   	   	   	   	   
  Agalinis heterophylla  	 FACU	   	   	 FACU	 FAC	   	 FAC	   	   	   
  Agalinis linifolia  	 OBL	   	   	 FACW	   	   	   	   	   	   
  Agalinis maritima  	 OBL	   	   	 FACW	 OBL	   	   	 FACW	   	   
  Agalinis obtusifolia  	 FAC	   	   	 FACU	   	   	   	   	   	   
  Agalinis oligophylla  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Agalinis paupercula  	 FACW	   	   	 FACW	 FAC	   	 OBL	 OBL	   	   
  Agalinis pulchella  	 FACW	   	   	   	   	   	   	   	   	   
  Agalinis purpurea  	 FACW	   	 FACW	 FACW	 FACW	   	 FACW	 FACW	   	   
  Agalinis skinneriana  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Agalinis tenella  	 OBL	   	   	 FACW	   	   	   	   	   	   
  Agalinis tenuifolia  	 FACU	 FACW	   	 FAC	 FAC	   	 FACW	 FACW	 FAC	   
  Agarista populifolia  	 FACW	   	   	 OBL	   	   	   	 FACW	   	   
  Agastache nepetoides  	 FAC	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Agastache urticifolia  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Agave americana  	 UPL	 UPL	 UPL	   	 UPL	 UPL	   	   	   	   
  Agave sisalana  	 UPL	 UPL	 UPL	   	   	 FACU	   	   	   	   
  Ageratina adenophora  	   	 FACU	   	   	   	 FACU	   	   	 FACU	   
  Ageratina altissima  	 FACU	   	   	 FACU	 UPL	   	 FACU	 FACU	 FACU	   
  Ageratina jucunda  	 FACU	   	   	 FACU	   	   	   	   	   	   
  Ageratina riparia  	   	   	   	   	   	 FACU	   	   	   	   
  Ageratum conyzoides  	 FACU	 FACU	 FACU	 FACU	   	 FAC	 FACU	 FACU	   	   
  Ageratum houstonianum  	 FACU	 FACU	   	 FACU	 FACU	 FACU	   	 FACU	   	   
  Aglaonema commutatum  	 FACU	   	 UPL	   	   	 FACU	   	   	   	   
  Agoseris X agrestis  	   	 FAC	   	   	 UPL	   	   	   	 UPL	   
  Agoseris X elata  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Agoseris aurantiaca  	   	 FAC	   	   	   	   	   	   	 FACU	 FAC
  Agoseris glauca  	   	 FACU	   	   	 FACU	   	 FACU	 FACU	 FAC	 FAC
  Agoseris monticola  	   	 FAC	   	   	   	   	   	   	 UPL	   
  Agoseris parviflora  	   	 FACU	   	   	 UPL	   	   	   	 UPL	   
  Agrimonia gryposepala  	 FACU	 FAC	   	 FACU	 FAC	   	 FACU	 FACU	 FACW	   
  Agrimonia parviflora  	 FAC	 FAC	   	 FACW	 FACW	   	 FACW	 FAC	 FACW	   
  Agrimonia rostellata  	 FAC	   	   	 FACU	 FAC	   	 FACU	 FACU	   	   
  Agrimonia striata  	 UPL	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Agrostis canina  	 FACU	   	   	 FACU	   	 FACU	 UPL	 UPL	 UPL	   
  Agrostis capillaris  	 FAC	 FAC	   	 FAC	 FAC	 UPL	 FAC	 FAC	 FAC	 FACU
  Agrostis clavata  	   	   	   	   	   	   	   	   	   	 OBL
  Agrostis elliottiana  	 FACU	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Agrostis exarata  	   	 FACW	   	 FACW	 FACW	 FACW	   	 FAC	 FACW	 FACW
  Agrostis gigantea  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FAC	 FAC
  Agrostis hendersonii  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Agrostis hyemalis  	 FAC	 FACW	 FACW	 FAC	 FACW	 FAC	 FAC	 FAC	 FACW	   
  Agrostis idahoensis  	   	 FACW	   	   	 FACW	   	   	   	 FACW	 FACW
  Agrostis lacuna-vernalis  	   	 FACW	   	   	   	   	   	   	   	   
  Agrostis mertensii  	 FACU	 FACU	   	 FACU	 FACU	   	   	 FACU	 FACU	 FACU
  Agrostis microphylla  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Agrostis oregonensis  	   	 FACW	   	   	   	   	   	   	 FAC	   
  Agrostis pallens  	   	 FACU	   	   	   	   	   	 UPL	 UPL	   
  Agrostis pauzhetica  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Agrostis perennans  	 FACU	 FAC	   	 FACU	 FAC	   	 FAC	 FACU	 FACW	   
  Agrostis rossiae  	   	 FAC	   	   	   	   	   	   	 UPL	   
  Agrostis sandwicensis  	   	   	   	   	   	 FACU	   	   	   	   
  Agrostis scabra  	 FAC	 FAC	   	 FAC	 FAC	   	 FAC	 FAC	 FAC	 FAC
  Agrostis stolonifera  	 FACW	 FACW	   	 FACW	 FACW	 FACU	 FACW	 FACW	 FAC	 FAC
  Agrostis vinealis  	   	   	   	   	   	   	   	   	   	 FAC
  Ailanthus altissima  	 FACU	 FACU	   	 FACU	 FACU	 FACU	 FACU	 UPL	 FACU	   
  Aira caryophyllea  	 FAC	 FACU	   	 FAC	 FACU	 FACU	 FACU	 UPL	 FACU	 FAC
  Albizia lebbeck  	 UPL	   	 UPL	   	 UPL	 FACU	   	   	   	   
  Alchornea latifolia  	   	   	 FACU	   	   	   	   	   	   	   
  Alectra fluminensis  	   	   	 OBL	   	   	   	   	   	   	   
  Aletris aurea  	 FACW	   	   	 FACW	 FACW	   	   	   	   	   
  Aletris bracteata  	 FACU	   	   	   	   	   	   	   	   	   
  Aletris farinosa  	 FAC	 FAC	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Aletris lutea  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Aletris obovata  	 FAC	   	   	   	   	   	   	   	   	   
  Aleurites moluccanus  	 UPL	   	 UPL	   	   	 FACU	   	   	   	   
  Alhagi maurorum  	 FAC	 FAC	   	 FAC	 FAC	   	   	   	 FAC	   
  Aliciella pinnatifida  	   	 FACU	   	   	 FAC	   	   	   	 FAC	   
  Alisma gramineum  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Alisma lanceolatum  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Alisma plantago-aquatica  	   	   	   	   	   	   	   	 OBL	 OBL	 OBL
  Alisma subcordatum  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Alisma triviale  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Allenrolfea occidentalis  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Alliaria petiolata  	 FACU	 FACU	   	 FACU	 FACU	   	 FAC	 FACU	 FACU	 FACU
  Allium bisceptrum  	   	 FACU	   	   	 FACU	   	   	   	 FAC	   
  Allium canadense  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Allium cernuum  	 FACU	 FACU	   	 FACU	 UPL	   	 FACU	 FACU	 FACU	   
  Allium douglasii  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Allium geyeri  	   	 FACU	   	   	 FACU	   	   	   	 FACU	   
  Allium hickmanii  	   	 FACU	   	   	   	   	   	   	   	   
  Allium hyalinum  	   	 FACU	   	   	   	   	   	   	 FAC	   
  Allium lemmonii  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Allium madidum  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Allium schoenoprasum  	 FACU	 FACW	   	 FACU	 FACU	   	 FAC	 FACU	 FACW	 FAC
  Allium tricoccum  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Allium validum  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Allium vineale  	 FACU	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	 UPL
  Allolepis texana  	   	 FAC	   	   	 FAC	   	   	   	   	   
  Allophyllum gilioides  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Almutaster pauciflorus  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Alnus glutinosa  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	   
  Alnus incana  	 FACU	 FACW	   	 FACU	 FACW	   	 FACW	 FACW	 FACW	 FAC
  Alnus maritima  	 OBL	   	   	 OBL	 OBL	   	   	   	   	   
  Alnus oblongifolia  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Alnus rhombifolia  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Alnus rubra  	   	 FACW	   	   	   	   	   	   	 FAC	 FAC
  Alnus serrulata  	 FACW	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Alnus viridis  	   	 FACW	   	 FAC	 FAC	   	 FAC	 FAC	 FACW	 FAC
  Alocasia cucullata  	   	   	   	   	   	 FACU	   	   	   	   
  Alocasia macrorrhizos  	 FACW	 FACW	 FACW	 FACW	 FACW	 FAC	   	   	   	   
  Alopecurus aequalis  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Alopecurus arundinaceus  	   	 FAC	   	 FACW	 FACW	   	 FACW	   	 FAC	   
  Alopecurus carolinianus  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	   
  Alopecurus geniculatus  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Alopecurus magellanicus  	   	 FACW	   	   	 FACW	   	   	   	 FACW	 FACW
  Alopecurus myosuroides  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	   
  Alopecurus pratensis  	 FAC	 FACW	   	 FACW	 FACW	   	 FACW	 FAC	 FAC	 FACW
  Alopecurus saccatus  	   	 OBL	   	   	   	   	   	   	 FACW	   
  Alophia drummondii  	 FACU	   	   	 FACU	 FACU	   	   	   	   	   
  Alpinia purpurata  	   	   	 UPL	   	   	 FACU	   	   	   	   
  Alpinia zerumbet  	 UPL	   	 FACU	   	   	 FACU	   	   	   	   
  Alsophila amintae  	   	   	 FACW	   	   	   	   	   	   	   
  Alsophila brooksii  	   	   	 FAC	   	   	   	   	   	   	   
  Alsophila bryophila  	   	   	 FACW	   	   	   	   	   	   	   
  Alsophila portoricensis  	   	   	 FACW	   	   	   	   	   	   	   
  Alternanthera ficoidea  	 FACU	   	 FACU	   	 FACU	 FACU	   	   	   	   
  Alternanthera maritima  	 FACW	   	   	   	   	   	   	   	   	   
  Alternanthera paronychioides  	 OBL	   	 FAC	 OBL	 OBL	   	   	   	   	   
  Alternanthera philoxeroides  	 OBL	 OBL	 OBL	 OBL	 OBL	   	 OBL	   	 OBL	   
  Alternanthera sessilis  	 OBL	   	 FAC	 FAC	   	 FAC	   	   	   	   
  Althaea officinalis  	 FACW	   	   	 FACW	 FACW	   	 FACW	 FAC	   	   
  Alysicarpus vaginalis  	 FAC	   	 FAC	   	   	 UPL	   	   	   	   
  Alyxia stellata  	   	   	   	   	   	 FACU	   	   	   	   
  Amaranthus X texensis  	   	   	   	   	 FACW	   	   	   	   	   
  Amaranthus acanthochiton  	 FACU	 FACU	   	   	 FACU	   	   	   	 FACU	   
  Amaranthus albus  	 FACU	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	 FACU
  Amaranthus arenicola  	 FACU	 FACU	   	 UPL	 FACU	   	 FACU	 FACU	 FAC	   
  Amaranthus australis  	 OBL	   	 OBL	 OBL	 OBL	   	   	   	   	   
  Amaranthus blitoides  	 FAC	 FACU	   	 FAC	 FAC	 UPL	 FACU	 FACU	 FAC	 UPL
  Amaranthus blitum  	 FACU	 FAC	 UPL	 FACU	 FACU	 FACU	 FAC	 FACU	 FACU	   
  Amaranthus californicus  	   	 FACW	   	   	 FACW	   	 FACW	   	 FACW	   
  Amaranthus cannabinus  	 OBL	   	   	 OBL	   	   	   	 OBL	   	   
  Amaranthus crassipes  	 FAC	 FAC	 FACU	 FAC	 FAC	   	   	 FAC	 FAC	   
  Amaranthus floridanus  	 OBL	   	   	   	   	   	   	   	   	   
  Amaranthus graecizans  	 FACU	   	   	 FACU	   	   	   	 FACU	   	   
  Amaranthus greggii  	 FAC	   	   	   	 FAC	   	   	   	   	   
  Amaranthus obcordatus  	   	 FACU	   	   	 FACU	   	   	   	 FACU	   
  Amaranthus palmeri  	 FACU	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Amaranthus pumilus  	 FACW	   	   	 FACW	   	   	   	 FACW	   	   
  Amaranthus retroflexus  	 FAC	 FACU	   	 FACU	 FACU	 UPL	 FACU	 FACU	 FACU	 UPL
  Amaranthus spinosus  	 FACU	 FACU	 FACU	 FACU	 FACU	 FACU	 FACU	 FACU	 FACU	   
  Amaranthus tricolor  	 UPL	   	 UPL	 UPL	   	   	 UPL	 FACU	   	   
  Amaranthus tuberculatus  	 FACW	 FACW	   	 FACW	 FAC	   	 OBL	 OBL	 OBL	   
  Amaranthus viridis  	 FAC	 FAC	 UPL	 FAC	 FAC	 FACU	 FAC	 FACU	 FAC	   
  Amaranthus watsonii  	   	 FACW	   	   	   	   	   	   	   	   
  Amauropelta globulifera  	   	   	   	   	   	 FACU	   	   	   	   
  Amblyopappus pusillus  	   	 FACW	   	   	   	   	   	   	   	   
  Ambrosia artemisiifolia  	 FACU	 FACU	   	 FACU	 FACU	 UPL	 FACU	 FACU	 FACU	 FACU
  Ambrosia grayi  	   	   	   	   	 FAC	   	   	   	 FAC	   
  Ambrosia monogyra  	   	 UPL	   	   	 FACU	   	   	   	 UPL	   
  Ambrosia psilostachya  	 FAC	 FACU	   	 FAC	 FACU	   	 FACU	 FAC	 FACU	   
  Ambrosia pumila  	   	 FACU	   	   	   	   	   	   	   	   
  Ambrosia trifida  	 FAC	 FAC	   	 FAC	 FAC	   	 FAC	 FAC	 FAC	 FAC
  Amelanchier alnifolia  	   	 FACU	   	   	 FACU	   	 FACU	 FACU	 FACU	 UPL
  Amelanchier arborea  	 FACU	 FACU	   	 FAC	 FACU	   	 FACU	 FACU	   	   
  Amelanchier bartramiana  	   	   	   	 FAC	   	   	   	 FAC	   	   
  Amelanchier canadensis  	 FAC	   	   	 FAC	   	   	   	 FAC	   	   
  Amelanchier cusickii  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Amelanchier intermedia  	 FACW	   	   	 FACW	 FACW	   	 FACW	 FACW	   	   
  Amelanchier nantucketensis  	 FACU	   	   	 FACU	   	   	   	 FACU	   	   
  Amelanchier spicata  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Amelanchier utahensis  	   	 FACU	   	   	 FAC	   	   	   	 UPL	   
  Amianthium muscitoxicum  	 FAC	   	   	 FAC	   	   	 FAC	 FAC	   	   
  Ammannia auriculata  	 OBL	 OBL	 OBL	 OBL	 OBL	   	 OBL	   	 OBL	   
  Ammannia baccifera  	   	   	 FACW	   	   	   	   	   	   	   
  Ammannia coccinea  	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL	   
  Ammannia latifolia  	 OBL	   	 OBL	 OBL	 OBL	   	   	 OBL	   	   
  Ammannia robusta  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Ammophila arenaria  	 FACU	 FACU	   	   	   	 FACU	 FACU	 FACU	 FACU	   
  Ammophila breviligulata  	 UPL	 FACU	   	 FACU	   	   	 UPL	 UPL	 UPL	   
  Ammoselinum butleri  	 FAC	   	   	 FAC	 FAC	   	 FAC	   	   	   
  Amorpha californica  	   	 FAC	   	   	   	   	   	   	 FACU	   
  Amorpha confusa  	 FACU	   	   	   	   	   	   	   	   	   
  Amorpha fruticosa  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	   
  Amorpha georgiana  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Amorpha herbacea  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Amorpha nana  	   	 FACU	   	   	 UPL	   	 FACU	 FACU	 FACU	   
  Amorpha nitens  	 FAC	   	   	 FAC	   	   	 FACW	   	   	   
  Amorpha paniculata  	 FACW	   	   	 FACW	 FACW	   	   	   	   	   
  Amorpha roemeriana  	 FACU	   	   	   	 FACU	   	   	   	   	   
  Ampelaster carolinianus  	 OBL	   	   	 FACW	   	   	   	   	   	   
  Ampelopsis arborea  	 FAC	 FAC	 FAC	 FACW	 FAC	   	 FACW	 FACW	 FAC	   
  Ampelopsis cordata  	 FAC	 FAC	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Amphicarpaea bracteata  	 FAC	 FACW	   	 FAC	 FACU	   	 FAC	 FAC	 FACU	   
  Amphicarpum amphicarpon  	 FACW	   	   	 FACW	   	   	   	 FACW	   	   
  Amphicarpum muehlenbergianum  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Amphitecna latifolia  	 FACU	   	 FAC	   	   	   	   	   	   	   
  Amsinckia spectabilis  	   	 FACU	   	   	   	   	 FACU	 FACU	 FACU	   
  Amsonia ludoviciana  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Amsonia rigida  	 FACW	   	   	   	   	   	   	   	   	   
  Amsonia tabernaemontana  	 FACW	   	   	 FAC	 FACW	   	 FACW	 FACW	   	   
  Amyris elemifera  	 FAC	   	 UPL	   	   	   	   	   	   	   
  Anacardium occidentale  	   	   	 FACU	   	   	   	   	   	   	   
  Anaphalis margaritacea  	 UPL	 FACU	   	 UPL	 FACU	   	 FACU	 FACU	 FACU	 UPL
  Andira inermis  	 FAC	   	 FAC	   	   	   	   	   	   	   
  Andromeda polifolia  	   	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 FACW
  Andropogon arctatus  	 FAC	   	   	   	   	   	   	   	   	   
  Andropogon bicornis  	 FAC	   	 FAC	   	   	 FAC	   	   	   	   
  Andropogon brachystachyus  	 FAC	   	   	   	   	   	   	   	   	   
  Andropogon capillipes  	 FAC	   	   	 FACU	   	   	   	   	   	   
  Andropogon floridanus  	 FACU	   	   	   	   	   	   	   	   	   
  Andropogon gerardii  	 FAC	 FACU	   	 FAC	 FACU	   	 FAC	 FACU	 FACU	   
  Andropogon glaucopsis  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Andropogon glomeratus  	 FACW	 FACW	 FAC	 FACW	 FACW	 FAC	 FACW	 FACW	 FACW	   
  Andropogon gracilis  	 FAC	   	 UPL	   	   	   	   	   	   	   
  Andropogon gyrans  	 FACU	   	   	 FACU	 FACU	   	 FACU	   	   	   
  Andropogon hirsutior  	 FACW	   	   	 FACW	 FACW	   	   	 FACW	   	   
  Andropogon leucostachyus  	   	   	 FAC	   	   	   	   	   	   	   
  Andropogon longiberbis  	 FAC	   	   	   	   	   	   	   	   	   
  Andropogon mohrii  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Andropogon ternarius  	 FACU	   	   	 FACU	 FACU	   	 FACU	   	   	   
