order	ocr	taxon	elias	fna	other	mean
373	Buckthorn Bumelia (B. lycioidesJ 530	Bumelia lycioides	9			9
372	Ironwood or Tough Bumelia (B. lenoxj 529	Bumelia tenax	8			8
625	Fragrant Bursera (B. fagaroides)	Bursera fagaroides	5			5
623	Elephant Tree (B. microphyllo}	Bursera microphylla	5			5
624	Gumbo-Limbo (B. simaruba}	Bursera simaruba	20			20
667	Key Byrsonima (B. lucidoJ 841	Byrsonima lucida	6			6
498	Paradise Poinciana (C. gilliesii} 658	Caesalpinia gilliesii	5			5
497	Mexican Poinciana re. mexicanoJ 657	Caesalpinia mexicana	5			5
496	Flowerfence Poinciana {C. pulcherrimo} 657	Caesalpinia pulcherrima	10			10
71	Incense Cedar (C. decurrensJ 123	Calocedrus decurrens	50	57		53.5
514	Pale Lidflower (G. pa/Jens) 674	Calyptranthes pallens	8			8
515	Myrtle-of-the-River (G. zuzygium) 675	Calyptranthes zuzygium	12			12
112	Cinnamon Bark, Canella (C, win!erona) 204	Canella winteriana	10			10
554	Canotia (C. holacanthaJ 718	Canotia holacantha	6			6
353	Jamaica Caper (C. cynophal/ophoroJ	Capparis cynophallophora	6			6
354	Bay-Leaved Caper {C. flexuosa) 505	Capparis flexuosa	8			8
303	Papaya (G. papaya) 455	Carica papaya	6			6
275	Saguaro, Giant Cactus (C. gigon!eus) 420	Carnegia gigantea	15.5			15.5
169	Shagbark Hickory, Shellbark Hickory {C.	carolinae-septentrionalis	45	39		42
251	American Hornbeam (C. caroliniana) 389	Carpinus caroliniana	8			8
166	Water Hickory, Bitter Hickory (C. aqua!·	Carya aquatica	35	46		40.5
167	'Bitternut Hickory {C. cordiformisJ 282	Carya cordiformis	35	52		43.5
172	·' ·Scrub Hickory, Florida Hickory fC, j)ori· ·1 dona) 288	Carya floridana	25	25		25
173	· Pignut Hickory (C. glabro) 290	Carya glabra	40	30		35
165	Pecan (C. i//inoensis)	Carya illinoinensis	60	44	?	52
170	Big She lb?rk Hickory, King Nut Hickory (C. laciniosa)	Carya laciniosa	40	41		40.5
164	Nutmeg Hickory (C. myristiciformis) 278	Carya myristiciformis	35			35
169	Shagbark Hickory, Shellbark Hickory {C.	Carya ovata	45	46		45.5
174	Sand Hickory {C. pa/Iida) 291	Carya pallida	15	29		22
171	IBlack Hickory {C. texano) 287	Carya texana	28	41		34.5
168	- :Mockernut Hickory, White Hickory {C. !omen- ,,, tasa) 283	Carya tomentosa	35	36		35.5
185	'Florida Chinkapin (G. alnifolia variety	Castanea alnifolia var. floridana				#DIV/0!
182	American Chestnut {C. dentata) 303	Castanea dentata	6	30	?	18
184	Ozark Chinkapin {C. ozorkensis) 306	Castanea ozarkensis		20		20
183	􀆦'Allegheny Chinkapin (C. pumila) 305	Castanea pumila	8	15		11.5
186	Golden Chinkapin (C. chrysophylla) 307	Castanopsis chrysophylla	40			40
272	Brazilian Beefwood (C. cris!olo) 415	Casuarina cristata	20			20
271	Horsetail Casuarina (C. equisetifoliaJ 414	Casuarina equisetifolia	30			30
702	Southern Catalpa (C, bignonioides} 879	Catalpa bignonioides	15			15
703	;Northern Catalpa (C. speciosa) 880	Catalpa speciosa	30			30
576	Feltleaf Ceanothus (C. arboreusJ 742	Ceanothus arboreus	7			7
