"Scientific.Name","preGH","Last","Stem","Size","Leaf","GH"
"Abutilon dugesii","S.B","B","S","2","BE","S2BE"
"Abutilon dugesii","S.B","B","S","2","BE","S2BE"
"Abutilon glabriflorum","S.B","B","S","1","BE","S1BE"
"Acalypha cincta","S.B","B","S","1","BE","S1BE"
"Acalypha cincta","S.B","B","S","1","BE","S1BE"
"Acanthosyris annonagustata","T.B","B","T","2","BE","T2BE"
"Adenaria floribunda","S.B","B","S","2","F","S2F"
"Adenocalymma arthropetiolatum","L.B","B","L",".","BD","L.BD"
"Aegiphila anomala","T.B","B","T","1","BE","T1BE"
"Aegiphila cephalophora","L.B","B","L",".","BE","L.BE"
"Aegiphila falcata","T.BD","BD","T","1","BE","T1BE"
"Aegiphila falcata","T.BD","BD","T","1","BE","T1BE"
"Aegiphila filipes","S.B","B","S","1","BE","S1BE"
"Aegiphila mollis","T.B","B","T","1","BE","T1BE"
"Aegiphila trifida","T.B","B","T","1","BE","T1BE"
"Aeschynomene scabra","S.B","B","S","1","BD","S1BD"
"Aeschynomene scabra","S.B","B","S","1","BD","S1BD"
"Albizia tomentosa","T.B","B","T","1","BE","T1BE"
"Alchornea costaricensis","T.BD","BD","T","1","BE","T1BE"
"Alchornea grandis","T.B","B","T","1","BE","T1BE"
"Alfaroa costaricensis","T.B","B","T","2","BD","T2BD"
"Allophylus cominia","T.B","B","T","1","BE","T1BE"
"Allophylus gentryi","S.B","B","S","1","BE","S1BE"
"Allophylus jamaicensis","T.B","B","T","1","BE","T1BE"
"Alnus acuminata","T.B","B","T","1","BD","T1BD"
"Alternanthera brasiliana","H2FV","FV","H","2","F","H2F"
"Alternanthera brasiliana","H2FV","FV","H","2","F","H2F"
"Amanoa caribaea","T.B","B","T","2","BE","T2BE"
"Amelanchier pallida","S.B","B","S","1","BD","S1BD"
"Amicia zygomeris","S.B","B","S","2","F","S2F"
"Ampelocera macrocarpa","T.BE","BE","T","2","BD","T2BD"
"Anemopaegma chrysoleucum","L.B","B","L",".","BE","L.BE"
"Anomospermum chloranthum","L.B","B","L",".","F","L.F"
"Anomospermum grandifolium","L.B","B","L",".","F","L.F"
"Anomospermum reticulatum","L.B","B","L",".","F","L.F"
"Anthurium rubrifructum","H.FV","FV","H","2","F","H2F"
"Argemone fruticosa","S.B","B","S","2","F","S2F"
"Argemone fruticosa","S.B","B","S","2","F","S2F"
"Aristolochia orbicularis","H.F","F","H","2","FV","H2FV"
"Aristolochia pilosa","L.B","B","L",".","BD","L.BD"
"Isotrema serpentarium","H2F","F","H","2","FV","H2FV"
"Aspidosperma cuspa","T.B","B","T","2","BD","T2BD"
"Aspidosperma excelsum","T.BE","BE","T","2","BD","T2BD"
"Asplenium aethiopicum","H2F","F","H","2","FE","H2FE"
"Astianthus viminalis","T.B","B","T","2","F","T2F"
"Ateleia herbert-smithii","T.B","B","T","2","F","T2F"
"Athyrium americanum","H2F","F","H","2","FE","H2FE"
"Baccharis glutinosa","S2BD","BD","S","1","BE","S1BE"
"Baccharis scoparia","S.B","B","S","1","BE","S1BE"
"Balizia elegans","T.BD","BD","T","2","BE","T2BE"
"Banisteriopsis muricata","L.B","B","L",".","BE","L.BE"
"Batocarpus costaricensis","T.B","B","T","2","F","T2F"
"Bauhinia herrerae","T.B","B","T","1","BE","T1BE"
"Bauhinia reflexa","L.B","B","L",".","BE","L.BE"
"Bauhinia ungulata","S.B","B","S","1","BE","S1BE"
"Berberis nigricans","S2BD","BD","S","2","BE","S2BE"
"Berberis pinifolia","S.B","B","S","2","BE","S2BE"
"Berberis pinifolia","S.B","B","S","2","BE","S2BE"
"Berberis quinquefolia","S.B","B","S","2","BE","S2BE"
"Berberis quinquefolia","S.B","B","S","2","BE","S2BE"
"Bernardia mexicana","T.B","B","T","1","BE","T1BE"
"Bernardia mexicana","T.B","B","T","1","BE","T1BE"
"Bernardia spongiosa","S.BD","BD","S","2","BE","S2BE"
"Besleria lutea","S.B","B","S","2","F","S2F"
"Bidens shrevei","S.B","B","S","1","BE","S1BE"
"Bocconia arborea","T.B","B","T","1","BE","T1BE"
"Bocconia arborea","T.B","B","T","1","BE","T1BE"
"Boehmeria caudata","S.B","B","S","2","BE","S2BE"
"Bourreria andrieuxii","T.BD","BD","T","1","BE","T1BE"
"Bouvardia erecta","S.B","B","S","2","BE","S2BE"
"Brickellia scoparia","S.B","B","S","2","BD","S2BD"
"Brickellia scoparia","S.B","B","S","2","BD","S2BD"
"Bromus richardsonii","H.G","G","H","2","GC","H2GC"
"Bromus richardsonii","H.G","G","H","2","GC","H2GC"
"Brongniartia alamosana","T.B","B","T","2","BD","T2BD"
"Bunchosia argentea","T.B","B","T","1","BE","T1BE"
"Bunchosia palmeri","T.B","B","T","1","BE","T1BE"
"Bunchosia palmeri","T.B","B","T","1","BE","T1BE"
"Bursera confusa","S.B","B","S","1","BD","S1BD"
"Bursera grandifolia","T.B","B","T","1","BE","T1BE"
"Bursera graveolens","T.B","B","T","1","BE","T1BE"
"Bursera heteresthes","T.B","B","T","1","BE","T1BE"
"Bursera instabilis","T.B","B","T","1","BE","T1BE"
"Bursera morelensis","T.B","B","T","1","BE","T1BE"
"Bursera fagaroides","T.BD","BD","T","1","BE","T1BE"
"Ayenia aculeata","L.B","B","L",".","BE","L.BE"
"Coulteria pumila","S.BD","BD","S","2","BE","S2BE"
"Coulteria pumila","S.BD","BD","S","2","BE","S2BE"
"Calea prunifolia","S.B","B","S","2","F","S2F"
"Calliandra coriacea","T.BD","BD","T","1","BE","T1BE"
"Calliandra guildingii","T.B","B","T","1","BE","T1BE"
"Calliandra trinervia","T.B","B","T","1","BD","T1BD"
"Callicarpa ferruginea","S.B","B","S","2","BD","S2BD"
"Caryocar amygdaliferum","T.B","B","T","2","F","T2F"
"Caryocar costaricense","T.B","B","T","2","F","T2F"
"Caryocar nuciferum","T.B","B","T","2","F","T2F"
"Casearia corymbosa","T.BD","BD","T","1","BE","T1BE"
"Piparea multiflora","T.B","B","T","1","BE","T1BE"
"Casimirella ampla","L.B","B","L",".","F","L.F"
"Cedrela angustifolia","S.B","B","S","2","BD","S2BD"
"Cedrela angustifolia","S.B","B","S","2","BD","S2BD"
"Cedrela oaxacensis","S.B","B","S","2","BD","S2BD"
"Cedrela oaxacensis","S.B","B","S","2","BD","S2BD"
"Cedrela tonduzii","S.B","B","S","2","BD","S2BD"
"Cedrela tonduzii","S.B","B","S","2","BD","S2BD"
"Cercocarpus fothergilloides","S.B","B","S","1","BD","S1BD"
"Cercocarpus mojadensis","T.B","B","T","1","BD","T1BD"
"Cercocarpus mojadensis","T.B","B","T","1","BD","T1BD"
"Cestrum reflexum","T.B","B","T","1","BE","T1BE"
"Chaetocarpus globosus","T.B","B","T","2","F","T2F"
"Chimarrhis cymosa","T.B","B","T","2","BE","T2BE"
"Chomelia psilocarpa","L.B","B","L",".","F","L.F"
"Chondrodendron tomentosum","L.B","B","L",".","F","L.F"
"Christiana africana","S.B","B","S","2","F","S2F"
"Chrysophyllum lucentifolium","T.B","B","T","1","BE","T1BE"
"Cissampelos tropaeolifolia","L.B","B","L",".","BE","L.BE"
"Cissus alata","L.B","B","L",".","BE","L.BE"
"Calyptridium monandrum","H1FS","FS","H","1","F","H1F"
"Calyptridium monandrum","H1FS","FS","H","1","F","H1F"
"Calyptridium parryi var. parryi","H1FS","FS","H","1","F","H1F"
"Calyptridium parryi var. parryi","H1FS","FS","H","1","F","H1F"
"Calyptridium parryi var. parryi","H1FS","FS","H","1","F","H1F"
"Calyptridium umbellatum","H2FS","FS","H","1","F","H1F"
"Calyptridium umbellatum","H2FS","FS","H","1","F","H1F"
"Citharexylum oleinum","S.B","B","S","2","BE","S2BE"
"Citharexylum oleinum","S.B","B","S","2","BE","S2BE"
"Cleome parviflora","S.B","B","S","1","F","S1F"
"Clethra alexandri","T.B","B","T","1","BE","T1BE"
"Clethra conzattiana","T.B","B","T","1","BD","T1BD"
"Clethra conzattiana","T.B","B","T","1","BD","T1BD"
"Miconia dependens","S.B","B","S","2","BE","S2BE"
"Miconia dependens","S.B","B","S","2","BE","S2BE"
"Clidemia collina","S.B","B","S","2","BE","S2BE"
"Clidemia plumosa","T.B","B","T","1","BE","T1BE"
"Clitoria javitensis","L.B","B","L",".","BE","L.BE"
"Cnestidium rufescens","L.B","B","L",".","F","L.F"
"Cnidoscolus elasticus","T.B","B","T","1","BE","T1BE"
"Cnidoscolus tubulosus","S.B","B","S","2","BE","S2BE"
"Cnidoscolus tubulosus","S.B","B","S","2","BE","S2BE"
"Cobaea scandens","L.B","B","L",".","BES","L.BES"
"Coccoloba acuminata","S.B","B","S","1","BE","S1BE"
"Coccoloba caracasana","T.B","B","T","1","BD","T1BD"
"Coccoloba johnstonii","T.B","B","T","1","BE","T1BE"
"Coccoloba lehmannii","T.B","B","T","1","BE","T1BE"
"Coccoloba manzinellensis","T.B","B","T","1","BE","T1BE"
"Coccoloba parimensis","L.B","B","L",".","BE","L.BE"
"Colubrina triflora","T.B","B","T","1","BE","T1BE"
"Combretum cacoucia","L.B","B","L",".","BE","L.BE"
"Combretum fruticosum","L.B","B","L",".","BE","L.BE"
"Miconia subhirsuta","T.B","B","T","2","BE","T2BE"
"Conostegia montana","T.B","B","T","2","BE","T2BE"
"Conostegia montana","T.B","B","T","2","BE","T2BE"
"Conostegia pyxidata","S.B","B","S","2","BE","S2BE"
"Conostegia speciosa","S.B","B","S","2","BE","S2BE"
"Conostegia xalapensis","S.B","B","S","2","BE","S2BE"
"Conostegia xalapensis","S.B","B","S","2","BE","S2BE"
"Copaifera aromatica","T.BE","BE","T","2","BD","T2BD"
"Cordia dodecandra","T.B","B","T","1","BE","T1BE"
"Cordia dodecandra","T.B","B","T","1","BE","T1BE"
"Cordia elliptica","T.B","B","T","1","BE","T1BE"
"Cordia sonorae","T.B","B","T","1","BE","T1BE"
"Cordia troyana","T.B","B","T","1","BE","T1BE"
"Leptosyne maritima","S1BE","BE","S","1","ME","S1ME"
"Leptosyne maritima","S1BE","BE","S","1","ME","S1ME"
"Cornus peruviana","S.B","B","S","2","BD","S2BD"
"Coussapoa parviceps","T.B","B","T","2","BE","T2BE"
"Coussapoa parvifolia","T.B","B","T","2","BE","T2BE"
"Coussarea paniculata","T.B","B","T","2","BE","T2BE"
"Coutaportla ghiesbreghtiana","S.B","B","S","2","F","S2F"
"Crataegus coccinea","S.B","B","S","2","BD","S2BD"
"Crataegus mexicana","T.B","B","T","1","BD","T1BD"
"Crataegus mexicana","T.B","B","T","1","BD","T1BD"
"Crotalaria nitens","S.B","B","S","1","BD","S1BD"
"Croton glabellus","S.B","B","S","2","BD","S2BD"
"Croton linearis","S2BE","BE","S","2","BD","S2BD"
"Croton matourensis","T.B","B","T","1","BE","T1BE"
"Croton pseudoniveus","T.B","B","T","1","BE","T1BE"
"Croton smithianus","S.BE","BE","S","2","BD","S2BD"
"Crudia glaberrima","T.B","B","T","2","F","T2F"
"Cupania hirsuta","T.B","B","T","1","BE","T1BE"
"Cynometra bauhiniifolia","T.BE","BE","T","2","BD","T2BD"
"Cyperus odoratus","H2GW","GW","H","2","GC","H2GC"
