"State","County","Observation_ID","Observation_Label","elev","slope","aspect","tpi","nat500"
"New Jersey","Ocean County",".2023.TOL.NB.32","2023NJ029200",NA,NA,NA,NA,NA
"New Jersey","Ocean County",".2023.TOL.NB.33","2023NJ029201",NA,NA,NA,NA,NA
"New Jersey","Ocean County",".2023.TOL.NB.34","2023NJ029202",NA,NA,NA,NA,NA
"New Jersey","Burlington County","BEL.JH.2023.1","2023NJ005201",NA,NA,NA,NA,NA
"Michigan","Ionia County","GRR.2011.GJS.1","Ionia County RCA Site",194.54621887207,1.56654441356659,330.759765625,0.365885823965073,0.723665833473206
"Michigan","Newaygo County","GRR.2011.GJS.10","Newaygo County",240.527404785156,0.877101719379425,164.579833984375,0.528077065944672,0.953567326068878
"Michigan","Barry County","GRR.2011.GJS.11","Barry County -Tenkink woods",287.619659423828,10.3054103851318,348.558563232422,0.496170282363892,0.60770583152771
"Michigan","Barry County","GRR.2011.GJS.12","Barry County - Houghton swamp",278.971130371094,1.06967723369598,254.374801635742,0.27883368730545,0.578956007957458
"Michigan","Allegan County","GRR.2011.GJS.13","Allegan County RCA Site: Newton",211.613540649414,2.22246694564819,117.926109313965,0.486643999814987,0.968584001064301
"Michigan","Ionia County","GRR.2011.GJS.3","Ionia County Shallow Sandy Site 1",198.222717285156,0.405878007411957,34.7597579956055,0.391182988882065,0.999527275562286
"Michigan","Allegan County","GRR.2011.GJS.4","Allegan County RCA Site: Morocco",206.442398071289,0.901279330253601,223.558349609375,0.598917961120605,0.973314046859741
"Michigan","Van Buren County","GRR.2011.GJS.5","Van Buren County RCA Site",233.281158447266,3.30140590667725,100.695030212402,0.464763611555099,0.303058445453644
"Michigan","Lake County","GRR.2011.GJS.6","Lake County RCA Site",252.224304199219,0.639470338821411,261.078002929688,0.476235002279282,0.917199492454529
"Michigan","Calhoun County","GRR.2011.GJS.7","Calhoun County County RCA Site",292.133575439453,0.313328146934509,258.401947021484,0.551704823970795,0.560483396053314
"Michigan","Mason County","GRR.2011.GJS.8","Mason County",206.431106567383,1.18369400501251,340.5009765625,0.52136355638504,0.948909997940063
"Michigan","Oceana County","GRR.2011.GJS.9","Oceana County",205.643707275391,0.247136637568474,314.837493896484,0.313621193170547,0.798396170139313
"Michigan","Berrien County","GRR.GJS.2011.14","Berrien County",199.390609741211,0.477384865283966,338.055847167969,0.480925321578979,0.215414702892303
"Michigan","Allegan County","GRR.GJS.2011.15","Allegan County RCA Site: Oakville",204.565536499023,0.218846186995506,218.858444213867,0.575319111347198,0.659297049045563
"Michigan","Newaygo County","GRR.GJS.2011.16","Coastal Plain Marsh 1",253.407943725586,1.6349937915802,12.8498344421387,0.473053932189941,0.948833644390106
"Michigan","Newaygo County","GRR.GJS.2011.17","Coastal Plain Marsh 2",253.290603637695,0.693559229373932,29.2052059173584,0.457467883825302,0.920058369636536
"Michigan","Manistee County","GRR.GJS.2011.18","Manistee RCA Site: Benona",256.875793457031,4.64452648162842,45.0575752258301,0.461935132741928,0.61204594373703
"Michigan","Oceana County","GRR.GJS.2011.19","Oceana RCA Site: Benona",240.819610595703,3.71785712242126,28.4114761352539,0.521922528743744,0.618729174137115
"Michigan","Ionia County","GRR.GJS.2011.2","Ionia County Shallow Sandy Site 2",197.626037597656,0.508926391601562,7.80314302444458,0.363189846277237,0.997342228889465
"Michigan","Muskegon County","GRR.GJS.2011.75","Sand Dunes",215.08073425293,25.9049205780029,163.415435791016,0.77961140871048,0.965184450149536
"Michigan","Ottawa County","GRR.GJS.2011.76","Sandy Lake Plain",186.056259155273,1.20866250991821,102.566558837891,0.727952182292938,0.885056912899017
"Michigan","Muskegon County","GRR.GJS.2011.78","Sandy Outwash Plain",204.263412475586,0.442118287086487,158.330978393555,0.556274950504303,0.541447162628174
"Michigan","Ottawa County","GRR.GJS.2012.1","MM01.02",205.244537353516,1.32491660118103,251.981384277344,0.583695352077484,0.913912951946259
"Michigan","Ottawa County","GRR.GJS.2012.10","S12042504",192.091995239258,4.02764511108398,51.238597869873,0.455483883619308,0.864833891391754
"Michigan","Ottawa County","GRR.GJS.2012.11","S12042505",191.821746826172,0.480147302150726,264.313537597656,0.510898172855377,0.644670963287354
"Michigan","Allegan County","GRR.GJS.2012.12","S12042601",204.264694213867,1.63095486164093,267.573516845703,0.39955148100853,0.799937129020691
"Michigan","Ottawa County","GRR.GJS.2012.13","S12050801",199.429229736328,1.46278357505798,26.8301181793213,0.532555043697357,0.188762679696083
"Michigan","Ottawa County","GRR.GJS.2012.14","S12051101",205.530807495117,31.6689853668213,326.616851806641,0.420878320932388,0.539105594158173
"Michigan","Ottawa County","GRR.GJS.2012.15","S12051102",195.064331054688,15.6726016998291,107.178436279297,0.352607101202011,0.778530716896057
"Michigan","Ottawa County","GRR.GJS.2012.16","S12051103",189.741363525391,12.3062286376953,315.5166015625,0.173281595110893,0.73263144493103
"Indiana","White County","GRR.GJS.2012.17","S12051801",208.505462646484,0.336569994688034,321.528594970703,0.472582936286926,0.538281142711639
"Michigan","Ottawa County","GRR.GJS.2012.18","S12052301",190.803634643555,1.73688435554504,122.026069641113,0.47573533654213,0.656492710113525
"Michigan","Ottawa County","GRR.GJS.2012.19","S12052302",191.753555297852,1.04668748378754,171.134887695312,0.523455083370209,0.49762088060379
"Michigan","Ottawa County","GRR.GJS.2012.2","MM01.A",188.593704223633,0.915295362472534,91.1988525390625,0.266562402248383,0.873167455196381
"Michigan","Montcalm County","GRR.GJS.2012.20","S12052401",273.741607666016,18.657283782959,86.2686386108398,0.469794243574142,0.344785541296005
